,transcript
555,AMB. HUGHES:  So I don't buy that we can't get things passed.
556,"MR. GREGORY:  Marc Morial, let's talk about tax policy."
557,MR. MORIAL:  Hm.
558,"MR. GREGORY:  Because you know, you could be for all the tax cuts across the board, Republicans and Democrats have to come to grips with the fact that you may have to raise taxes if you really want to bring the budget under control at some point."
559,"MR. MORIAL:  A lot of this is what I call ""Star Wars"" economics.  ""Let's quote cut spending, let's cut taxes, and let's also balance the budget."" And the reality check is that you can't cut, tax your way out of the debt problems that face--I'm part of an effort that's going to release a
report soon on debt reduction and there's some very difficult choices to be made.  But let me say this about the Bush tax cuts and my thinking. My thinking is to--that the plan needs to be recast.  It's a 2001 tax cut plan that was designed as a stimulus to the recession that was taking place.  Why can't we develop a new tax plan that might place greater tax relief for those at the middle and working levels?  This tax plan gave those at the middle and working levels scant relief and gave greater relief to those up at the top.  So I'm saying why can't--it's a false choice to say keep them or scrap them.  It's a better choice to say let's design a tax plan for 2010 that confronts the problems of 2010."
560,"MR. GREGORY:  Anita, your point here?"
561,"MS. DUNN:  I think that's a good point.  I mean, the reality is the reason that, that they expire this year is because the Republican Congress didn't want to say how they were going to pay for them in the out years, which is the problem that they will have today.  The, you know, if you look at what the, if you look at what the Republicans have been saying between their proposal to extend an additional tax cut to the wealthiest people in the country, which is $700 billion, and getting rid of the $500 billion of savings in Medicare Advantage, the first two
things they could do is increase the deficit by $1.2 trillion, $1.3 trillion, again.  David, you know, the Republicans have said they want to--spending cuts.  They won't tell you what they're going to cut. They've said that we, and Senator DeMint this morning said, we have to
fix Social Security and Medicare.  But apparently that doesn't involve making any tough choices.  Now that they control the House of Representatives, they can't just say, ""We're going to cut spending.  They actually have to propose cuts in spending."""
562,"MR. GREGORY:  All right, I'm going to take..."
563,"AMB. HUGHES:  Yeah, I think we're reading to do that."
564,MR. GREGORY:  Hold on.
565,AMB. HUGHES:  You just heard from a governor...
566,"MS. DUNN:  Well, I..."
567,AMB. HUGHES:  ...a great Republican governor who is doing exactly that in his state. 
568,MR. GREGORY:  Right.
569,"MS. DUNN:  Well, we haven't heard from anybody in the U.S. Senate or the House yet, you haven't heard what they'll cut, Karen."
570,"MR. MURPHY:  Stay tuned, though."
571,"MR. GREGORY:  All right, I'm going to..."
572,MR. MURPHY:  Stay tuned.
573,"MR. GREGORY:  I'm going to, I'm going to..."
574,"AMB. HUGHES:  We'll be, we'll be seeing a lot of votes on that."
575,"MR. GREGORY:  Right, we will stay tuned.  I'm going to take a quick break here, and we're going to come back with just a couple of moments left, talk about the legacy of George W. Bush.  He's speaking to Matt Lauer, his new book coming out.  We'll talk about that and get some final thoughts from our roundtable, right after this."
576,(Announcements)
577,"MR. GREGORY:  Final moments with our roundtable.  George W. Books--Bush's new book, ""Decision Points,"" is about to be released, his memoir.  He sat down with NBC's Matt Lauer, an interview that will air tomorrow night. And Matt asks him in part why he writes this book.  Does he want to try to cement perceptions about his presidency or change perceptions?  This
is the president's answer."
578,(Videotape)
579,"PRES. GEORGE W. BUSH:  Well, I, kind of.  But the main purpose of the book is to have a starting point, or not a starting point, just a data point for future historians.  Because I, you got--this may seem strange to you, I really don't care about perceptions at this point in time.  I, I served.  I gave it my all, and I'm a content man.  And the book has been a part of the transition process to private life, and it's a way for me to put the reader in the environment in which I had to make decisions."
580,(End videotape)
581,"MR. GREGORY:  Karen Hughes, you were there the whole time.  Is this an attempt to rehabilitate the Bush presidency?"
582,"AMB. HUGHES:  I think it's a very candid and fascinating and good read account of the decisions, the major decisions that, that President Bush made in office--the way he saw them, the kind of information he got, the kind of debate that took place, and the things he got right as well as the things he got wrong.  And it's a very candid accounting of that.  He says in a number of places, ""I got this wrong.  I should have done this differently."" He talks about the things that he got right.  He talks about the principles that he used to make decisions.  And so I think people are really going to enjoy it. On every page, I see the person that I know and that, that you covered in the campaign, David."
583,MR. GREGORY:  Anita Dunn...
584,MS. DUNN:  Yes.
585,MR. GREGORY:  ...20 seconds left.  Have views about the president changed?
586,MS. DUNN:  About President Bush?
587,MR. GREGORY:  Yeah.
588,"MS. DUNN:  I think views always change about presidents the further you get away from the presidency, and that the good things that happen tend to come into greater prominence, and that some of the emotions around presidencies fade."
589,"MR. GREGORY:  Final thoughts, 10 seconds."
590,"MR. MURPHY:  I think presidents should be able to litigate from inside what happened.  It's the most important point of view.  People ought to read it and learn, and I think history will be very good to President Bush..."
591,MR. GREGORY:  Interesting.  We're...
592,MR. MURPHY:  ...compared to current thoughts.
593,MR. GREGORY:  We're going to leave it there.  Thanks to all of you.
594,"MR. MORIAL:  Thank you, David."
595,"MR. DAVID GREGORY:  Before we go, a special programming note.  Tune in to NBC tomorrow night, 8 PM, Matt Lauer's exclusive interview with President Bush, his first since leaving office.  Matt will also be joined live by President Bush on the ""Today"" show Wednesday morning."
596,"One other special note, this week MEET THE PRESS celebrates 63 years on the air, the longest running television program in the world.  Read about our history and watch a video..."
597,MS. DUNN:  Congratulations.
598,"MR. GREGORY:  Thank you.  Watch a video of all the big highlights of this program throughout the past six decades.  It's up on our Web site now, mtp.msnbc.com."
599,"That is all for today.  We'll be back next week.  If it's Sunday, it's
MEET THE PRESS"
600,"
Show more text
"
601,Open in new window
602,"
            Editor's note: 
            This image contains graphic content that some viewers may find disturbing.
        "
603,"
Click  to view the image, or use the buttons above to navigate away.
        "
604,"
            Editor's note: 
            This image contains graphic content that some viewers may find disturbing.
        "
605,"
Click  to view the image, or use the buttons above to navigate away.
        "
606,"
            Editor's note: 
            This image contains graphic content that some viewers may find disturbing.
        "
607,"
Click  to view the image, or use the buttons above to navigate away.
        "
608,"
            Editor's note: 
            This image contains graphic content that some viewers may find disturbing.
        "
609,"
Click  to view the image, or use the buttons above to navigate away.
        "
610,Discussion comments
611,
612,"
“

”
"
613,Most active discussions
614,"
Show discussion
"
615,"




        Luke Russert and Paul Ryan chat about exercise, diet and how the prospect of death can be a personal and professional motivator. 
    
"
,transcript
0,"
        MR. DAVID GREGORY: This Sunday, the politics of the economy at home and abroad.  The president is dealt a setback at the economic summit in Asia over trade and a rebuke of his approach to economic recovery.  At home, the debate over the Bush-era tax cuts and the co-chairs of the president's debt commission propose taking the knife to Social Security, Medicare, and the defense budget.  After the election, will the White House and Republicans be capable of finding common ground? My guest this morning, the president's senior adviser, David Axelrod, in his first Sunday interview since the Democratic losses at the polls.
    "
1,MTP online
2,"Twitter: @davidgregory,@betsymtp,@meetthepress
Facebook: David Gregory, MTP
Download the iPhone app
Subscribe to newsletter

Get text message updates"
3,"Then the view from the Republicans.  Just back from Afghanistan, ranking member of the Senate Armed Services Committee, Senator John McCain. Plus, a special focus on jobs, the future of the economy, and whether Washington will take meaningful action on the debt.  With us, former Chairman of the Federal Reserve Alan Greenspan; former speaker of the House, Republican Newt Gingrich; author of the new book, ""All the Devils Are Here"" about the financial crisis, journalist Bethany McLean; and former congressman, Democrat, Harold Ford."
4,Transcript & resource archive
5,"Announcer: From NBC News in Washington, MEET THE PRESS with David Gregory."
6,MR. GREGORY: Good morning.
7,"MR. DAVID GREGORY:  President Obama on the way back from his 10-day trip to Asia, stopping a short time ago back on U.S. soil to refuel in Alaska. He returns home to a host of domestic challenges and debates as a lame duck session of Congress begins tomorrow."
8,"Joining me now from Chicago this morning, the president's senior adviser, David Axelrod."
9,"Mr. Axelrod, welcome back."
10,"MR. DAVID AXELROD: Morning, David.  Good to be here."
11,"MR. GREGORY: Some of the headlines from the trip were not very good.  A setback at the polls on Election Day and then headlines like this from The New York Times on Friday, ""Obama's Economic View is Rejected on World Stage; China, Britain and Germany Challenge U.S. - Trade Talks With Seoul Fail, Too."" And The Wall Street Journal over the weekend, ""U.S. Gets Rebuffed at Divided Summit."" After an Election Day setback, has the president also lost his ability to forge international consensus on the world stage?"
12,"MR. AXELROD: Not at all, David.  And if you had more time, I'm sure you'd show the positive headlines from the trip as well.  The president went on this mission because Asia's the most vibrant market, growing market in the world and we want to compete for those jobs and that's why he went. And his first stop was in India, a growing power in the world.  And we saw American businesses walk away with $10 billion in new deals, 50,000 jobs back here. We strengthened that key relationship.  And we went on and we forced the agenda at the G-20 to focus on this issue of trade imbalances, which is an important thing."
13,"Now, it's, it's obviously going to be the case that countries are going to pursue their national interests.  Germany is a great exporter.  That's all--that's, that's the, the core of their economy.  They don't want greater competition from us.  China, we know the same.  So there are going to be--there's going to be tug and pull in these.  But the point is you have a president of the United States who's out there fighting for American jobs.  In Korea we want a trade agreement because Korea is a, a huge market in which we want to sell American  products.  But what the president said was the deal that was on the table wasn't good enough, wasn't good enough for the auto industry, wasn't good enough for American beef.  We want to keep on negotiating, and that's what we're going to do."
14,MR. GREGORY: Let...
15,MR. AXELROD: We're going to make the best deal for the American worker and the American industry.
16,"MR. GREGORY: Let's talk about another hot topic, and that is the issue of the Bush-era tax cuts.  A lot of back and forth involving you this week about what's going to happen here, whether there'll be extended.  I want to go back to December of 2008, you were on this program and you were unequivocal about the president's position.  Take a look."
17,"(Videotape, December 28, 2008)"
18,MR. GREGORY: Will you hold off on any tax increases?
19,"MR. AXELROD: Well, look, the question is on the Bush tax cuts for the very wealthiest Americans, and it's something that we plainly can't afford moving forward, and whether it, it, it expires or whether we repeal it a little bit early, we'll determine later, but it's going to go, it has to go."
20,(End videotape)
21,"MR. GREGORY: ""It has to go."" With the new political reality in Washington, has the president changed his view? "
22,"MR. AXELROD: No.  The president still believes that we have to move forward on these tax cuts for the middle class.  The middle class has taken a beating in this last decade.  They've seen their incomes decline, and they've borne the brunt of this recession, but we can't afford to borrow another $700 billion to pay for tax cuts for millionaires and billionaires.  You know, your next guest, Senator McCain, was very courageous in 2003 when he voted against the second Bush tax cut, because he said it was irresponsible to, to, to pay for these--to borrow money for these tax cuts skewed to the wealthy at a time when we had two wars
and so many other pressures.  And that is still the case. So the president's..."
23,MR. GREGORY: But are you saying--so you're saying no deal... 
24,MR. AXELROD: ...position has--the president has not changed.
25,MR. GREGORY: ...no compromise.
26,"MR. AXELROD: Well, you're asking me--I'm telling you what the president's position is.  We need to move forward on the middle-class tax cuts.  We cannot afford a permanent extension of tax cuts for the wealthiest Americans, which would cost us $700 billion that we don't have over the next 10 years."
27,"MR. GREGORY: Right.  All right, but I know..."
28,"MR. AXELROD: We, we simply shouldn't do that."
29,"MR. GREGORY: ...the, I know the arguments.  Here's the question.  If the president could get an agreement on middle class tax cut extension, would he agree to an extension, at least temporary, for the tax cuts on the upper earners?"
30,"MR. AXELROD: David, we're looking forward to sitting down with leaders of both parties and talking about those issues.  I'm not going to negotiate that with you here.  There have been a lot of formulations thrown out in the last few weeks that are interesting, but we fundamentally want to uphold the principles that I laid out, and we believe that Congress should act before the first of the year.  These taxes, the way the Bush tax cuts were designed, are going to expire on January 1.  We want people to have the certainty of knowing that's not going to happen.  And Congress ought to--before they go on vacation, they ought to ensure that
people have better vacations of their own by knowing that this matter has been taken care of."
31,MR. GREGORY: All right.  Bottom line...
32,MR. AXELROD: So we're going to work hard to do that.
33,"MR. GREGORY: Bottom line, he's open to compromise.  Is that fair?"
34,"MR. AXELROD: The bottom line is he wants to sit down and talk about this, but..."
35,MR. GREGORY: Is he open to compromise?
36,"MR. AXELROD: ...as to your original question--there's no, there's no bend on the, on the permanent extension of tax cuts for the wealthiest Americans."
37,MR. GREGORY: He's open to compromise.
38,"MR. AXELROD: He wants to sit down--we want to get this done.  The American people expect to get this done, and we, we are, we are eager to sit down and talk about how to move forward."
39,"MR. GREGORY: The president said after the election that he endured a ""shellacking,"" his word.  What is the course correction for this president as he moves forward?"
40,"MR. AXELROD: Look, I think that, fundamentally, what drove the electorate were two things.  One is that while we have a recovery, while we've had 10 straight months of job growth after a horrendous downturn, it hasn't been fast enough.  We still have millions of people looking for jobs, we still have--we need more robust growth.  I think that was one of the messages and that was the primary message that we heard in that election. The second is they want us to work together to do it.  In many instances, we had to move as one party in Congress, or virtually as one party because the other party decided that they did not want to participate as a strategy.  Now I think the country is saying to both Republicans and Democrats, ""Forget about the politics for a while.  Sit down and work together to solve these problems and get this economy moving at a faster pace."" And that's what we intend to do."
41,"MR. GREGORY: OK, but I'm not hearing from you so far this morning where the president is prepared to give and change this dynamic.  I'm hearing on the issue of taxes, on the issue of what happened in the election still plenty of fight.  I'm sure your supporters are happy to hear that. What I'm wondering is, how does the president course correct, change the dynamic to actually get something done?"
42,"MR. AXELROD: Well, you know, here's the thing, David.  That is more important in a conversation between the president and members of both parties than me talking to you here.  I think those are issues that we need to move forward on.  I think on--there are plenty of economic issues.  We proposed a--to--a tax cut that would all allow businesses to buy capital equipment next year without paying the taxes on them in, in 2011.  That would get the economy moving.  We proposed a permanent tax cut for research and development.  That would get the economy moving. There are other ideas.  These are ideas that Republicans have
traditionally supported.  We ought to sit down and work on these things together and, and get this--and get these things done so the economy grows at a faster pace."
43,"MR. GREGORY: Let me ask you about the, the debt commission, the president's debt commission.  The chairman came out maybe a little earlier than they had planned and put forth a rather Draconian document about how to slash spending and deal with the deficit.  The New York Times summarized it this way--to bring viewers into it, let me put it on the screen: ""The chairman ... outlined a politically provocative and economically ambitious package of spending cuts and tax increases.  ..."
44,"""The plan calls for deep cuts in domestic and military spending, a gradual 15-cents-a-gallon increase in the federal gasoline tax, limiting or eliminating popular tax breaks in return for lower"" taxes, "" and benefit cuts and an increased retirement age for Social Security."" Here's
the bottom line, if they don't get 14 commission members to agree to this, this is an intellectual exercise and not a real document.  Can they get to 14?"
45,"MR. AXELROD: I don't know whether they can or they can't, David.  But obviously they did a--it's a voluminous work and they have not yet completed it.  That was the chairman--chairman's recommendation, and now they're going to vote on it.  The president said that he'll comment on their work after they complete it.  That's his commitment to them.  But, look, it underscores what we knew.  The president appointed this commission, bipartisan commission, because this is a huge problem.  We have to deal with it, and it's not going to be easy to deal with.  And if one side says, “No taxes on anyone can go up, any interest, any corporation, any individual,” and then the other side says, “No cuts can be made, then we're not going to solve it.”  Everybody's going to have to give a little, and we're going to have to move forward and deal with this problem together.  And hopefully, whatever happens, this commission report will give the impetus to do that."
46,"MR. GREGORY: Is--so the president's position is, “Look, everything has to be on the table."" Tax hikes, taking on entitlement spending, raising the retirement age for Social Security, on those specifics, all of those are on the table in the president's mind."
47,"MR. AXELROD: Yeah, I'm not going to deal with specifics because that would violate the president's commitment.  But I will say this.  There's no--the president has shown his willingness in the last two years.  You know, when we took on the healthcare issue, one of the reasons was that our budget people said we cannot deal with these deficits if we have an
inexorable climb in healthcare costs to the government, to businesses, to individuals, and so we did that.  And part of it was economies and the Medicare program.  We took away subsidies to insurance companies and made other economies that didn't affect patient care.  Unfortunately, the other party ran against us on it in the election and accused us of..."
48,MR. GREGORY: But why--but I have to ask you...
49,"MR. AXELROD: ...cutting Medicare.  We have to set, we have to set aside those kinds of tactics..."
50,MR. GREGORY: But I didn't even ask you for specifics.
51,MR. AXELROD: ...hold hands and move together.
52,"MR. GREGORY: I asked you whether everything was on the table.  And the level of caution from you on this--I mean, how are you going to expect both Democrats and Republicans to make painful choices if you can't even say publicly here today that those tough issues should at least be on the table?"
53,MR. AXELROD: The president--the president...
54,MR. GREGORY: And yet you expect Republicans to come to you.
55,"MR. AXELROD: David, David, the president empaneled this commission because he recognized that we had to take a, a, a wide lens look at this, and then--he said then everything should be on the table.  That hasn't changed.  What, what you want me to do, though, is, is react to
individual aspects of it here, and that, that I can't do because we need to see what the final report is.  But obviously there are going to be some hard choices to be made.  We're willing to make them.  It's going to take both parties together, working together to get them done."
56,MR. GREGORY: Speaker Pelosi said this draft report was unacceptable.  Did the president found--find that reaction counter-productive?
57,"MR. AXELROD: Look, there were reactions on--across the political spectrum. Some on the right, who said it was unacceptable.  Mr. Norquist and others on the right said, ""It raises taxes, we can't be for it."" Others on the left said it was unacceptable for other reasons.  I think
the best thing to do is wait for the final report, look at it, see where we can find common ground and move forward.  This is something the American people expect us to do, and we, we have to do it because we all know that this is a big dark cloud on our horizon and that--and the president is very intent on moving forward."
58,"MR. GREGORY: All right, before you go, two quick ones.  Rahm Emanuel, former chief of staff, now preparing to run for mayor in Chicago, in your town.  Will the president campaign for him?"
59,"MR. AXELROD: Well, the president hasn't--the president's made clear what his view of Rahm is.  He said he was an excellent chief of staff, thought he'd be an excellent mayor.  Whether he involves himself actively in this campaign is a matter that we haven't yet decided.  But I think his view of Rahm is very clear."
60,"MR. GREGORY: About Afghanistan.  My next guest, as you know, Senator McCain, is just back from Iraq and Afghanistan and has been critical of the timeline for the beginning of withdrawal, saying that, in fact, it is creating erratic behavior in Hamid Karzai, among others in the region,
because there's a sense that the U.S. will leave.  Is it a problem for the U.S. to announce the beginning of the end of the war? Does it undercut our policy?"
61,"MR. AXELROD: No, it's, it's, it's important that we announce the beginning of a drawdown.  We've always said it would be based on conditions on the ground, and that is still the case.  But it's important to let the Afghans know that they have to pick up the, pick up the pace
in terms of training up the military, training up their police, being ready to accept responsibility. And the--this, this beginning of the drawdown has a disciplining effect in that regard.  So it's important. We, we, we set it in conjunction with our military leadership.  Everyone
agreed that it was important, and it, and it's not going to shift."
62,"MR. GREGORY: All right, we'll leave it there.  David Axelrod in Chicago this morning, thank you as always."
63,MR. AXELROD: Good to be with you.  Thank you.
64,"MR. DAVID GREGORY:  Now the view from the other side of the aisle, Republican Senator John McCain."
65,"Welcome back to MEET THE PRESS.  Welcome back to the country.  You were, as I said, in Iraq and Afghanistan.  You just heard David Axelrod say any withdrawal will be conditions based.  Is that not enough to satisfy you?"
66,"SEN. JOHN McCAIN (R-AZ): Well, I'd like to see the president say that it's only condition based.  According to Mr. Woodward's book, his problem is the political--the left base of the Democrat Party.  You don't fight and conduct wars that way.  You win and then you leave.  And that's what we've done in Iraq.  And the fact is, the perception is, amongst friends
and enemies alike, that we've--we may be leaving, And that has caused them to make certain accommodations because they can't leave.  I mean, it's just a fact."
67,"MR. GREGORY: Well, Hamid Karzai..."
68,"SEN. McCAIN: Down to the, down to the governor level."
69,MR. GREGORY: Right.
70,"SEN. McCAIN: Down to the police chief level they say, yes, the Taliban are telling us we're leaving and they're going to cut off our heads. Famous captive, Taliban captive, said to his American interrogator, ""You've got the watches, we've got the time."""
71,"MR. GREGORY: Well, but Hamid Karzai, who you met with, says in The Washington Post this morning that it's time for the U.S. to reduce the intrusiveness into daily Afghan life, that they ought to get boots that are on the ground off the ground, out of the country."
72,"SEN. McCAIN: Yes, and Hamid Karzai is reflecting his desire to survive, also a degree of paranoia.  There's three big problems in Afghanistan right now, and let me tell you one of them that isn't, and that is the military aspect of it.  Our Marines, Army, Navy, Air Force are doing a
magnificent job.  They are penetrating into areas that they haven't been before.  The hometown of Mullah Omar is now under our control.  So that's--they've done a magnificent job under the leadership of General Petraeus and others."
73,"The other side, though, is that there's corruption at very high levels. The attorney general of, of Afghanistan is corrupt.  It's just a fact. And also, we have, unfortunately, a situation in Pakistan where the enemy and ISI, Pakistani military intelligence, is working with and harboring
al-Haqqani network and other elements of Taliban.  You can't defeat the nemy if they have sanctuary.  We also went to Pakistan and had a, a very andid meeting with General Kayani on this issue.  But it boils down to hat the ISI, Kayani, the Pakistani leadership, the Afghan leadership, India's leadership, all are not convinced that the United States is going
to stay the course."
74,"MR. GREGORY: Let me, let me talk to you about another military matter back home and a priority for this administration; that's whether the ban on gays and lesbians in the military is going to be rescinded."
75,SEN. McCAIN: Mm-hmm.
76,"MR. GREGORY: Are you going to stand in the way, you personally, in the way of this ban being lifted?"
77,"SEN. McCAIN: I will stand that I want a thorough and complete study of the effect on morale and battle effectiveness of the United States military.  I will listen, as I've said for years, to our military leaders and not a, not a study that is leaked--as we know this town's pretty good
at that."
78,"MR. GREGORY: That said, seven in 10 members of the military think it would be just fine to have it lifted."
79,"SEN. McCAIN: Yeah.  You and I have not seen that study.  And this study was directed at how to implement the repeal, not whether the repeal should take place or not.  But, very importantly, we have people like the commandant of the Marine Corps, the three other--all four service chiefs are saying we need a thorough and complete study of the effects--not how
to implement a repeal, but the effects on morale and battle effectiveness.  That's what I want.  And once we get this study, we need to have hearings, and we need to examine it, and we need to look at whether it's the kind of study that we wanted.  It isn't, in my view,
because I wanted a study to determine the effects of the repeal on battle effectiveness and morale.  What this study is, is designed to do is, is to find out how the repeal could be implemented.  Those are two very different aspects of this issue."
80,"MR. GREGORY: In a lot of households, this is a subject of debate, including your own, apparently."
81,SEN. McCAIN: That's right.
82,"MR. GREGORY: Your wife, Cindy McCain, has, has cut an ad, a public service announcement with NOH8, a group that promotes gay, lesbian, transgender rights.  And this is a portion of it.  Let me, let me play it."
83,(Videotape from NOH8 public service announcement)
84,MS. CINDY McCAIN: Our political and religious leaders tell LGBT youth that they have no future.
85,MR. DAVE NAVARRO: They can't get married.
86,MR. STEPH JONES: They can't donate blood.
87,MS. McCAIN: They can't serve our country openly.
88,(End videotape)
89,"MR. GREGORY: Referring to ""Don't Ask, Don't Tell."" She did clarify this on her Twitter page.  I--you're both so active on Twitter.  She said this.  She said, ""I fully support the NOH8 campaign and all it stands for and am proud to be part of it.  But I stand by my husband's stance on
`don't ask, don't' tell.'"""
90,SEN. McCAIN: Which is a complete and thorough study and review of the effect on battle readiness and...
91,MR. GREGORY: OK.
92,"SEN. McCAIN: ...and morale.  And by the way, I respect the First Amendment rights of every member of my family."
93,"MR. GREGORY: But, but, you know, what's interesting about this, I mean, a debate in families, is..."
94,SEN. McCAIN: Sure.
95,"MR. GREGORY: ...there is kind of--you, you talk about waiting for the--there is an appeal to honor, I mean to your honor.  You had the chairman of the Joint Chiefs saying, ""Look, it's just not right to have, to have people lying about who they are just to be able to protect fellow
citizens."" It has been an appeal..."
96,"SEN. McCAIN: Yeah.  And you have the, you have the commandant of the Marine Corps who says..."
97,MR. GREGORY: Right.
98,"SEN. McCAIN: ...whose, whose people he's directly responsible for, is saying this could hurt our ability to win.  This, this is about..."
99,MR. GREGORY: Do you believe that?
100,SEN. McCAIN: This is about...
101,"MR. GREGORY: I mean, you say you wait for the study.  What do you believe?"
102,SEN. McCAIN: I'm paying attention to the commandant of the Marine Corps.
103,MR. GREGORY: Right.
104,"SEN. McCAIN: I'm paying attention to the chief of staff of the Air Force,
the Army and..."
105,"MR. GREGORY: But you're so close to the military, Senator.  You know these people.  You know the issue.  I mean, do you have a sense of it in your gut about what should happen?"
106,"SEN. McCAIN: I, I have a sense that I respect and admire these four service chiefs who have expressed either outright opposition or deep reservation about the repeal.  They're the ones who are in charge.  Now, the chairman of the Joint Chiefs of Staff, I agree, the president and the secretary of Defense have all come out for repeal.  But I really would--I was in, I was in an outpost near Kandahar.  Army master sergeant, 19 years in, fifth deployment to Iraq and Afghanistan, says to me, ""Senator McCain, we live, eat, sleep, and fight together in close proximity.  I'm concerned about the repeal.  I'd like to know more about it."" That's, that's the view that I got from chief petty officers and sergeants all over Afghanistan."
107,"MR. GREGORY: The ban's not going to be lifted in the lame duck session, is that fair to say?"
108,"SEN. McCAIN: I think that we should at least--I, I don't think it should be, because I think once this study comes out in the beginning of December, we should at least have a chance to review it and maybe have hearings on it."
109,MR. GREGORY: I just want to spend a couple of minutes on taxes and spending.
110,SEN. McCAIN: Mm-hmm.
111,"MR. GREGORY: This is your 59th appearance on MEET THE PRESS.  You know what that means.  We have so much tape.  So if we--if you go back to 2004, I know your, your..."
112,SEN. McCAIN: Yeah.
113,MR. GREGORY: ...position on the Bush tax cuts...
114,SEN. McCAIN: Yeah.
115,MR. GREGORY: ...did change and you've talked about that before.  But I do want to play something you said from an interview in 2004 and ask you about it.
116,"(Videotape, April 11, 2004)"
117,"SEN. McCAIN: I voted against the tax cuts because of the disproportional amount that went to the wealthiest Americans.  I would clearly support not extending those tax cuts in order to help address the, the deficit. But the middle income tax credits, the families, the child tax credits,
the marriage tax credit, all those I would keep."
118,(End videotape)
119,MR. GREGORY: That's exactly...
120,SEN. McCAIN: Is there…
121,MR. GREGORY: ...what President Obama says.
122,"SEN. McCAIN: Is there a statute of limitations? The economic situation is vastly different today.  We are in the midst of the greatest recession in the history of this country since the Great Depression.  It is not the time to raise anyone's taxes.  And by the way, also along with that statement, I said we have to restrain spending, and spending was way out of control
at that time. I said otherwise we're facing massive deficits, and that's what happened."
123,MR. GREGORY: Should tax cuts on the wealthiest Americans only be extended for a temporary period and only if there are corresponding spending cuts?
124,"SEN. McCAIN: I think they should be extended until we're out of this recession.  At such time then we could look at, at other tax hikes.  But when we're in a serious recession, I cannot believe that raising taxes is a good thing on anybody."
125,MR. GREGORY: Is the debt commission a nonstarter or a good start or something else?
126,"SEN. McCAIN: I hope it's a starter.  I hope that even if they don't get the 14 members, as you mentioned earlier when you were talking with David Axelrod, that I hope that this is a wake-up call to America.  It gives us an idea of the breadth of this problem, that we are going to have to make significant changes, we're going to have to challenge some of the very, very tough areas such as entitlements if we're ever going to dig out of this hole."
127,MR. GREGORY: Everything should be on the table?
128,SEN. McCAIN: Everything should be on the table.
129,MR. GREGORY: Raising the retirement age?
130,"SEN. McCAIN: Everything should be on the table.  And if it's not, then, obviously, I don't think we're going to make progress.  And again, I'd like to applaud Alan Simpson and Erskine Bowles because at least Americans--I think the lesson of this last election, the message was,
""Stop the spending, do things differently.  We're worried about our children and our grandchildren and we can't keep on going like we are."" And so maybe the environment has changed enough that Americans will respect us making some tough decisions."
131,MR. GREGORY: Just about a minute left.
132,SEN. McCAIN: Mm-hmm.
133,"MR. GREGORY: President Bush's memoir is out, ""Decision Points."" He talks about you in a couple of places.  And he talks about your decision not to have him campaign with you."
134,SEN. McCAIN: Mm-hmm.
135,"MR. GREGORY: And he writes this: ""I thought it looked defensive for John to distance himself from me.  I was confident I could have helped him make the case."" Any regrets that you kept him on the sidelines?"
136,"SEN. McCAIN: No.  That--it was a decision made at the time of the campaign. I respect and admire President Bush.  At the time, it's just was the realities of the political situation.  As you know, then--President Obama, at the time, was doing everything he could to tie me to President Bush.  I admire and respect and I believe I called President Bush a friend.  And it was just a decision we made and I hope he respects it."
137,"MR. GREGORY: There was a meeting--he talks about September of '08, the height of the financial collapse.  You suspend your campaign, call for a meeting in the White House.  Here's a picture of it.  You're there--actually, you're next to Boehner there.  And, and then-Senator
Obama there as well.  And he writes that he was surprised that you actually--you, you had called this meeting, you didn't really add that much substantively, didn't have a question, suggesting that you were unprepared for the meeting.  Is that fair?"
138,"SEN. McCAIN: I was prepared for the meeting.  I wasn't prepared for the onslaught that came, took place from all of the Democrats in the room. My reason for being there was to make sure that Republicans were heard, people like Boehner, Mitch McConnell and others.  That was the reason why I was there.  I didn't think I was going to make any headway with some of the Democrats who were in the room.  But I didn't ask for that meeting. But the fact is that I thought it was best, at that time, to say, ""I want Republicans to be heard."" Until that time, they had been shut out of the process."
139,"MR. GREGORY: We'll leave it there until your 60th appearance.  Senator,
thank you, as always."
140,SEN. McCAIN: Thanks for having me on.
141,MR. GREGORY: Appreciate it.
142,"Up next, our special focus on the economy, jobs and the debt with former Chairman of the Federal Reserve Alan Greenspan; former speaker of the House, Republican Newt Gingrich; author of the new book, ""All the Devils Are Here,"" about the financial crisis, journalist Bethany McLean; former congressman, Democrat Harold Ford."
143,(Announcements)
144,"MR. GREGORY: Coming up, jobs, the future of the economy, and Washington's solution to our growing debt.  A special economic discussion featuring Alan Greenspan and Newt Gingrich right after this brief commercial break. "
145,(Announcements)
146,"MR. DAVID GREGORY:  We are back.  Joining me this morning for our special discussion on the problems facing our nation's economy, co-author of the new book on the financial crisis, ""All the Devils Are Here,"" Vanity Fair's Bethany McLean; former Chairman of the Federal Reserve Alan Greenspan; co-author of the new novel ""Valley Forge:  George Washington and the Crucible of Victory,"" former speaker of the House, Republican Newt Gingrich; and chair of the Democratic Leadership Council, former Congressman Harold Ford Jr."
147,"Welcome to all of you.  So much to discuss about the future of our economy, the president on the world stage, free trade, and his approach to economic recovery."
